,date,symbol,open,close,low,high,volume,eps,pe,yield1,yield3,yield6,yield12,ma50,ma200,ma300,hi91,hi182,hi365,lo91,lo182,lo365
476469,2013-12-31,ABT,38.380001,38.330002,38.220001,38.57,4594200.0,1.64,23.37195243902439,2.1316360813119246,14.417916417910462,8.246263767297378,14.967012597480505,37.74799988571428,35.96151066906474,36.055454425837326,40.490002000000004,41.299999,46.5,35.650002,35.650002,35.650002
476507,2013-12-31,ATVI,17.799999,17.83,17.719998999999998,17.99,2886200.0,0.96,18.572916666666664,3.662784670768332,7.995154451847355,23.30567081604424,59.48121645796064,17.34057142857143,16.64352517266186,15.996363631578953,21.5,22.629998999999998,24.18,16.549999,16.549999,16.549999
476957,2014-01-02,ABBV,52.119999,51.98,51.52,52.330002,4569100.0,1.11,46.82882882882882,1.5036145577741706,16.756513926325226,19.990766389658347,50.84155980387578,50.75205844117647,46.47553951798561,45.25211531249999,54.73,58.27,70.760002,46.419998,45.5,45.5
476959,2014-01-02,ABT,38.09,38.23,38.0,38.400002,4967500.0,1.5,25.486666666666665,2.768814441698524,15.813396898721408,10.046050083704628,14.667066586682637,37.76588214705882,35.97172648920862,36.08230757211539,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
476997,2014-01-02,ATVI,17.91,18.07,17.799999,18.08,6620900.0,1.14,15.850877192982457,4.450873089645853,10.38484359286231,21.356615177971776,61.627906976744185,17.379117617647065,16.668776971223018,16.017740379807698,21.5,22.780001000000002,24.18,16.549999,16.549999,16.549999
477447,2014-01-03,ABBV,52.25,52.299999,51.970001,52.669998,4794300.0,1.11,47.11711621621621,2.128490570757478,16.71501413267096,19.107262582555236,55.146842336008405,50.88294082352941,46.517142799999995,45.32403838461538,54.73,58.27,70.760002,46.419998,45.5,45.5
477449,2014-01-03,ABT,38.369999,38.639998999999996,38.27,38.779999,4301600.0,1.5,25.75999933333333,3.8709622615332506,16.4908089533198,11.226242877015352,15.862072915266737,37.791470352941175,35.99078557857141,36.10134602884615,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
477487,2014-01-03,ATVI,17.799999,18.290001,17.639999,18.35,7194700.0,1.14,16.04386052631579,5.722555244078336,12.34643658805669,22.751684563758374,66.42403093721566,17.40764705882353,16.680357142857137,16.03432692307693,21.5,22.780001000000002,24.18,16.549999,16.549999,16.549999
477937,2014-01-06,ABBV,52.700001,50.389998999999996,50.029999,52.700001,11871100.0,1.11,45.39639549549549,-3.8175225008116485,8.763213521985165,12.931421177306618,48.86263508789571,51.028181424242426,46.617391239130434,45.38519223557692,54.73,58.27,70.760002,46.419998,45.5,45.5
477939,2014-01-06,ABT,39.189999,39.150002,39.110001000000004,39.689999,10130400.0,1.5,26.100001333333335,7.880961480271111,15.147064705882357,10.343861330326959,17.320956467514435,37.82575748484849,35.9945651231884,36.12163450000001,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
477977,2014-01-06,ATVI,18.379998999999998,18.08,18.07,18.549999,5989200.0,1.14,15.859649122807017,8.523409363745486,1.4021312394840066,19.497686715135472,56.94444444444443,17.409696969696974,16.73753623188405,16.050000000000004,21.5,22.780001000000002,24.18,16.549999,16.549999,16.549999
